Round#,Food,Metal,Ore,Tools,Wood,Work
0,8.0,0.0,12.0,0.0,4.0,2.0
1,9.0,0.0,11.0,0.0,2.0,2.0
2,9.0,0.0,11.0,0.0,4.0,2.0
3,14.0,4.0,11.0,0.0,1.0,2.0
4,11.0,4.0,15.0,0.0,3.0,2.0
5,6.0,4.0,15.0,8.0,3.0,2.0
6,19.0,4.0,11.0,7.0,4.0,2.0
7,14.0,4.0,11.0,11.0,2.0,2.0
8,14.0,4.0,11.0,15.0,2.0,2.0
9,14.0,4.0,15.0,15.0,4.0,2.0
10,14.0,4.0,15.0,14.0,5.0,2.0
11,19.0,2.0,14.0,14.0,7.0,2.0
12,16.0,1.0,13.0,13.0,6.0,2.0
13,17.0,1.0,12.0,17.0,6.0,2.0
14,19.0,1.0,15.0,17.0,6.0,2.0
15,17.0,1.0,14.0,17.0,6.0,2.0
16,18.0,4.0,14.0,17.0,7.0,2.0
17,25.0,5.0,15.0,17.0,7.0,2.0
18,28.0,5.0,15.0,21.0,6.0,2.0
19,30.0,4.0,14.0,20.0,6.0,2.0
20,33.0,4.0,14.0,18.0,6.0,2.0
21,30.0,4.0,14.0,18.0,6.0,2.0
22,36.0,4.0,14.0,17.0,7.0,2.0
23,32.0,4.0,14.0,17.0,6.0,2.0
24,33.0,4.0,14.0,17.0,7.0,2.0
25,34.0,4.0,14.0,17.0,7.0,2.0
26,30.0,4.0,14.0,17.0,7.0,2.0
27,27.0,4.0,14.0,17.0,8.0,2.0
28,23.0,4.0,14.0,21.0,9.0,2.0
29,30.0,5.0,14.0,21.0,8.0,2.0
30,36.0,4.0,13.0,20.0,7.0,2.0
31,37.0,7.0,15.0,19.0,6.0,2.0
32,38.0,7.0,16.0,19.0,6.0,2.0
33,37.0,7.0,14.0,19.0,6.0,2.0
34,37.0,7.0,14.0,18.0,6.0,2.0
35,27.0,7.0,14.0,17.0,6.0,2.0
36,28.0,7.0,14.0,17.0,8.0,2.0
37,29.0,7.0,14.0,21.0,8.0,2.0
38,35.0,7.0,14.0,21.0,8.0,2.0
39,31.0,6.0,16.0,20.0,7.0,2.0
40,31.0,6.0,15.0,20.0,8.0,2.0
41,32.0,6.0,14.0,23.0,8.0,2.0
42,34.0,6.0,14.0,23.0,8.0,2.0
43,34.0,5.0,17.0,22.0,8.0,2.0
44,34.0,5.0,16.0,22.0,8.0,2.0
45,40.0,5.0,15.0,22.0,8.0,2.0
46,40.0,5.0,14.0,21.0,7.0,2.0
47,35.0,5.0,14.0,20.0,7.0,2.0
48,36.0,5.0,14.0,20.0,8.0,2.0
49,31.0,5.0,14.0,20.0,8.0,2.0
50,32.0,5.0,14.0,20.0,9.0,2.0
51,33.0,5.0,14.0,19.0,9.0,2.0
52,39.0,5.0,14.0,19.0,9.0,2.0
53,40.0,5.0,14.0,19.0,8.0,2.0
54,35.0,5.0,14.0,19.0,8.0,2.0
55,30.0,5.0,14.0,19.0,9.0,2.0
56,31.0,5.0,14.0,19.0,8.0,2.0
57,38.0,5.0,14.0,19.0,8.0,2.0
58,38.0,5.0,14.0,19.0,7.0,2.0
59,33.0,5.0,14.0,19.0,7.0,2.0
60,29.0,5.0,14.0,19.0,8.0,2.0
61,36.0,5.0,14.0,19.0,9.0,2.0
62,36.0,5.0,14.0,19.0,8.0,2.0
63,42.0,5.0,14.0,23.0,8.0,2.0
64,42.0,4.0,14.0,23.0,7.0,2.0
65,42.0,7.0,14.0,23.0,7.0,2.0
66,41.0,6.0,14.0,23.0,7.0,2.0
67,40.0,5.0,14.0,23.0,7.0,2.0
68,35.0,4.0,14.0,23.0,7.0,2.0
69,35.0,4.0,14.0,23.0,8.0,2.0
70,35.0,4.0,14.0,23.0,8.0,2.0
71,35.0,4.0,14.0,23.0,8.0,2.0
72,36.0,4.0,14.0,22.0,8.0,2.0
73,42.0,4.0,14.0,22.0,8.0,2.0
74,42.0,4.0,14.0,22.0,7.0,2.0
75,42.0,4.0,14.0,22.0,7.0,2.0
76,42.0,4.0,14.0,22.0,7.0,2.0
77,37.0,4.0,14.0,21.0,7.0,2.0
78,36.0,4.0,14.0,21.0,8.0,2.0
79,36.0,4.0,14.0,21.0,8.0,2.0
80,31.0,4.0,14.0,21.0,8.0,2.0
